objectid,parentid,filename,youtubeid,title,creator,interviewer,interviewee,date,description,publisher,subject,personal_name,geographic_subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,notes
arc_063,arc_111,arc_063.jpg,,Activities Secretary Job Posting Page 1,Germantown Branch YWCA,,,1942,Document,,Colored Branch; Integration; Programming; Events,,,"Germantown, Philadlephia",,,"Box 25.4, Temple Univeristy Archives",,Image,image/jpeg,eng,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_063.jpg,,,Archive job posting looking for an activities secretary at the Colored Branch,"<p>Place ----- Germantown Branch Y.W.C.A.</p>
<p>Job To Be Filled ----- Activities Secretary.&nbsp;</p>
<p>When ----- February 1942.</p>
<p>Salary ----- 1,200</p>
<p>Is there a retirement fund ----- Yes.</p>
<p>Name of person ----- Miss S. Lavina Moore.</p>
<p>Date of leaving ----- February 20, 1942</p>
<p>Reason ----- To become Health Education Director in another Association</p>
<p>Name &amp; Address of person carrying</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Mrs. Herbert T. Miller (Belle Miller) Mrs. Hazel Baker</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Y.W.C.A. 6128 Germantown Avenue.</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; The Staff consists of the Executive Secretary, Activities Director, one full time Office Secretary and two part-time clerical workers.&nbsp;</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; The Activities Secretary is responsible for the promotion of sports particularly badminton, tennis, horseback riding and skating. In addition to this, she is to work as advisor to one Girl Reserve Club, and one Industrial Club. She is responsible for coordination of all sports at the Branch and must be able to work in close cooperation with the Central Y.W.C.A. of Germantown. One problem which the Association has faced is in regard to weekend skating and dancing parties. It has been necessary to establish a name file as a means of checking on the type of persons who attend affairs at the Branch. This condition has perhaps improved some, but is still in the process of being thoroughly worked out. Some attention must be given to the question of the Tennis Courts; which problem may no doubt take a few years in order to be worked out adequately. The presence of the 76th Artillery Unit in this vicinity makes it increasingly important for Industrial girls to have special guidance as to how to accept the presence of the soldiers without becoming fully overwhelmed by them.&nbsp;</p>",
arc_064,arc_111,arc_064.jpg,,Activities Secretary Job Posting Page 2,Germantown Branch YWCA,,,1942,Document,,Colored Branch; Integration; Programming; Events,,,"Germantown, Philadlephia",,,"Box 25.4, Temple Univeristy Archives",,Image,image/jpeg,eng,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_064.jpg,,,Archive job posting looking for an activities secretary at the Colored Branch,"<p>Is There A Chairman ----- Yes – Younger Girl’s Committee</p>
<p>Board Member ----- Yes.</p>
<p>Committee ----- No Industrial Committee, but committee chairman – not a member of the board.</p>
<p>Make-Up ----- Younger Girl’s Committee – Chairman – active on committees at both the Central Association and the Branch; has attended conferences at the National Board; extremely interested in progress in the Y.W.C.A. in relation to the Younger Girl’s Department --- housewife.&nbsp;</p>
<p>Committee members:</p>
<ol>
    <li>
        <p>Teacher now retired due to marriage – young, college graduate – former Girl Reserve advisor in Dayton, Ohio.</p>
    </li>
    <li>
        <p>College Graduate, major in group work, at the present time doing volunteer work with the Younger Girl’s Department at the Branch – Unemployed.</p>
    </li>
    <li>
        <p>Teacher at the Morgan Teacher’s College</p>
    </li>
</ol>
<p>Qualifications:</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; College Graduate – preferably a Physical Education Major – some experience in group work – should be able to instruct tennis and badminton – should have some camp experience. It is important to have some experience in dealing with Interracial groups.&nbsp;</p>
<p>February 1942&nbsp;</p>
<p>Thelma Wamble, Executive.&nbsp;</p>",
arc_065,,arc_065.jpg,,Open House Invite 1947,Germantown Branch YWCA,,,1947,"A document/invitation for an open house event at the YWCA, offering information, fun activities, and refreshments.",,Colored Branch; Integration; Programming; Events,,,"Germantown, Philadlephia",,,"Box 25.9, Temple University Archives",,Image,image/jpeg,eng,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_065.jpg,,,Invitation for an Open House event at the Colored Branch in 1947,"<p>Meet Friends Old and New</p>
<p>YWCA Open House 1947</p>
<p>September 23 at 5820 Germantown Avenue</p>
<p>September 30 at 6128 Germantown Avenue</p>
<p>Two Evenings for</p>
<ul>
    <li>Information</li>
    <li>Fun</li>
    <li>Refreshments</li>
</ul>
<p>Reserve Both Tuesdays 7:30-10:30</p>",
arc_066,,arc_066.jpg,,Business Exhibit Invitation,Germantown Branch YWCA,,,,A document/Invitation of an annual buisness exhibit.,,Colored Branch; Integration; Programming; Events,,,"Germantown, Philadlephia",,,"Box 25.9, Temple University Archives",,Image,image/jpeg,eng,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_066.jpg,,/objects/arc_066_thumb.jpg,Invitation for a Business Exhibit at the Colored Branch,"<p>Second Annual Business Exhibit</p>
<p>Open each day from 10:00 A.M. to 10:00 P.M.</p>
<p>Branch Y.W.C.A</p>
<p>6128 Germantown Ave.</p>
<p>Thursday Night Nov. 10</p>
<p>Come and See</p>
<p>A dress made in fifteen minutes!</p>
<p>The latest styles of Fair Dressing for Street, Afternoon, and Evening!</p>
<p>How to get a frigidaire cheap &amp;&nbsp;</p>
<p>How to save money on flowers!</p>
<p>How to launder the best and easiest way!</p>
<p>The scientific way to cook!</p>
<p>All these and other demonstrations with an Orchestra Thursday</p>
<p>Friday Night Nov. 11</p>
<p>Big Fashion Show – Models:</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; E. Howard Dress Shop – 18 &amp; Addison St.</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Sally’s Shop</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Stylish Stout</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Stylish Thin</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Charming Bride</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Pajamas – Street</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Etc.</p>
<p>Orchestra Friday night also</p>
<p>Admission 25¢ each night</p>
<p><span></span></p>",
arc_067,,arc_067.jpg,,Colored Branch Building at 6128 Germantown Ave,Germantown Branch YWCA,,,1952,Scanned photograph of the colored branch building,,Colored Branch; Building,,,"Germantown, Philadlephia",40.04103407,-75.17978712,"Box 24, Temple University Archives",,Image,image/jpeg,eng,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_067.jpg,,,Image of the front of the Colored Branch building at 6128 Germantown Avenue,,
arc_068,,arc_068.jpg,,List of House Equipment,"Mumford, Elenor",,,1948,"A scanned document listing equipment stored in the hall closet, kitchen, and the locations of items such as skates and music supplies.",,Colored Branch; Building,,,"Germantown, Philadlephia",40.04103407,-75.17978712,"Box 24, Temple University Archives",,Image,image/jpeg,eng,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_068.jpg,,,Scan of a document containing list of house equipment,,Needs to be transcribed
arc_069,,arc_069.jpg,,Alyce Jackson (r) and Bernice Murray playing tennis at the (Black) YWCA,"Ragsdale, Connie",,,1938,A scanned photograph of Alyce Jackson on the right and Bernice Murray playing tennis at the Black YWCA.,,Colored Branch; Building; Programming,Alyce Jackson; Bernice Murray,,"Germantown, Philadlephia",40.04103407,-75.17978712,"Germantown Crier, Germantown Historical Society",,Image,image/jpeg,eng,,,image,/objects/arc_069.jpg,,,Scan of an image of two members on the Colored Branch tennis court from the Germantown Crier,,Copyright?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arc_073,,arc_073.png,,"Announcement for Opening Week of the Young Women’s Christian Association New Administration Building, 1915",YWCA of Germantown,,,1915,A scanned pamphlet announcing the opening of the YWCA Building in 1915,YWCA of Germantown,Swimming Pool,,,5820 Germantown Ave,40.036836,-75.176593,"YWCA of Germantown, Germantown Historical Society",,Image,image/png,eng,,,image,/objects/arc_073.jpg,,,Scan of an pamphlet announcing the opening of the YWCA pool in 1915,,
arc_074,,arc_074.png,,The Importance of this Swimming Pool (1),YWCA of Germantown,,,2000,A scanned pamphlet from a YWCA brochure  ,YWCA of Germantown,Swimming Pool,,,5820 Germantown Ave,40.036836,-75.176593,"YWCA of Germantown, Germantown Historical Society",,Image,image/png,eng,,,image,/objects/arc_074.jpg,,,Scan of an pamphlet discussing the pool schedule and events for the year,,
arc_075,,arc_075.png,,The Importance of this Swimming Pool (2),YWCA of Germantown,,,2000,A scanned pamphlet from a YWCA brochure  ,YWCA of Germantown,Swimming Pool,,,5820 Germantown Ave,40.036836,-75.176593,"YWCA of Germantown, Germantown Historical Society",,Image,image/png,eng,,,image,/objects/arc_075.jpg,,,Scan of an pamphlet discussing the importance of the pool,,
arc_076,,arc_076.jpg,,the pool after the closing of YWCA,John Webster,,,2012,A picture of the pool after it was closed,John Webster,Swimming Pool,,5820 Germantown Ave,5820 Germantown Ave,40.036836,-75.176593,Taken by John Webster,,Image,image/jpeg,eng,,,image,/objects/arc_076.jpg,,,"An image of the pool after the YWCA closed, the pool is empty and there is debris at the bottom of it",,
arc_080,,arc_080.jpeg,,Swimming Lessons at the YWCA Pool,,,,,,,Swimming Pool,,,5820 Germantown Ave,40.036836,-75.176593,,,image,image/jpeg,eng,,,image,/objects/arc_080.jpg,,,,,
arc_083,,arc_083.jpg,,Teen swimmers,Philadelphia Evening Bulletin,,,1947-07-01,A photograph of Betty Shreiner leads the first swimming class for teenagers at the Germantown YWCA swimming pool for the Junior Girls' Day Camp.,"<a href=""https://digital.library.temple.edu/digital/collection/p15037coll3/search/searchterm/Philadelphia%20Evening%20Bulletin/field/publis/mode/exact/conn/and""> Philadelphia Evening Bulletin</a>",Swimming Pool,"Shreiner, Betty","Germantown (Philadelphia, Pa.)","5820 Germantown Ave, Philadelphia, PA 19144",40.036836,-75.176593,"<a href=""https://digital.library.temple.edu/digital/collection/p15037coll3/id/13256/rec/46""> Temple Digital Collection</a>",P430085B,Image;StillImage,image/jp2,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",http://rightsstatements.org/vocab/InC/1.0/,image,/objects/arc_083.jpg,,,"Image of teenage swimmers, are dressed in dark swimsuits and caps, watching pool instructor Betty Shreiner from inside the pool.",,
arc_082,,arc_082.jpeg,,Synchronized Swimmers,YWCA of Germantown,,,,,,Swimming Pool,,,5820 Germantown Ave,40.036836,-75.176593,,,Image,image/jpeg,eng,,,image,/objects/arc_082.jpg,,,,,
arc_084,,arc_084.jpeg,,Swim Here Pamphlet,YWCA of Germantown,,,Unkown,,,Swimming Pool,,,5820 Germantown Ave,40.036836,-75.176593,,,Image,image/jpeg,eng,,,image,/objects/arc_084.jpg,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arc_090,,arc_090.jpg,,"Unsealed windows, exterior of building",,,,2015,"A photograph showing damages on the YWCA building, including broken windows and vines on the building.",,Architecture,,,"5821 Germantown Ave, Philadelphia, PA 19144",,,Taken by Jill Saull,,Image,image/jpeg,eng,,,image,/objects/arc_090.jpg,,,Outside Damage to the Building,,
arc_091,,arc_091.jpg,,Front entrance into the building,,,,2015,A photograph showing the interior damages of the YWCA.,,Architecture,,,"5822 Germantown Ave, Philadelphia, PA 19144",,,Taken by Jill Saull,,Image,image/jpeg,eng,,,image,/objects/arc_091.jpg,,,Outside Damage to the Building,,
arc_092,,arc_092.jpg,,Upper gymnasium area ,,,,2012,A photograph showing damages and disordered interior of the upper gymnasium area.,,Architecture,,,"5823 Germantown Ave, Philadelphia, PA 19144",,,Taken by John Webster,,Image,image/jpeg,eng,,,image,/objects/arc_092.jpg,,,"Damaged by Fire, Upper Gymnasium Area",,
arc_093,,arc_093.jpg,,Empty pool,,,,2012,A photograph of the abandonded YWCA empty pool littered with various objects.,,Architecture,,,"5824 Germantown Ave, Philadelphia, PA 19144",,,Taken by John Webster,,Image,image/jpeg,eng,,,image,/objects/arc_093.jpg,,,"Damaged by Fire, Empty Pool",,
arc_094,,arc_094.jpg,,Abandoned Germantown Pottery Guild,,,,2012,A photograph of the abandonded pottery guild with scattered material on the floor.,,Architecture,,,"5825 Germantown Ave, Philadelphia, PA 19144",,,Taken by Vince Herbe,,Image,image/jpeg,eng,,,image,/objects/arc_094.jpg,,,Abandoned Germantown Pottery Guild,,
arc_095,,arc_095.jpg,,Abandoned Ceramics Room,,,,2012,A photograph of the neglected ceramics room.,,Architecture,,,"5826 Germantown Ave, Philadelphia, PA 19144",,,Taken by Vince Herbe,,Image,image/jpeg,eng,,,image,/objects/arc_095.jpg,,,"Abandoned Ceramics Room, Fourth Floor",,
arc_096,,arc_096.jpg,,"Left photo is a room on the first floor, right photo unknown room (Help to identify will be appreciated)",,,,2012,A photograph of two damaged photos showing rooms in the YWCA.,,Architecture,,,"5827 Germantown Ave, Philadelphia, PA 19144",,,Taken by John Webster,,Image,image/jpeg,eng,,,image,/objects/arc_096.jpg,,,Damaged photo frames of different rooms in the building,,
arc_097,,arc_097.jpg,,Photo of art class believed to be in fourth floor ,,,,2012,"A photograph of a framed photo of art class, with the glass part of the frame broken.",,Architecture,,,"5828 Germantown Ave, Philadelphia, PA 19144",,,Taken by John Webster ,,Image,image/jpeg,eng,,,image,/objects/arc_097.jpg,,,Damaged photo frame of art class,,
arc_098,,arc_098.jpg,,Outside damage ,,,,2015,A photograph showing unsealed windows on the exterior of the building.,,Architecture,,,5820 Germantown Ave,,,Taken by Jill Saull ,,Image,image/jpeg,eng,,,,,,,,,
arc_100,,arc_100.jpeg,,David McShane's First Sketch of The Women of Germantown Mural ,David McShane,,,,Image of David McShane's first design for The Women of Germantown Mural,,Mural,,,,,,Taken by David McShane,,Image,image/jpeg,eng,,,image,/objects/arc_100.jpg,,,Image of David McShane's first design for the Women of Germantown Mural,,
arc_101,,arc_101.jpeg,,David McShane's Draft of The Women of Germantown Mural,David McShane,,,,Image of one of David McShane's design drafts for The Women of Germantown Mural,,Mural ,,,,,,Taken by David McShane,,Image,image/jpeg,eng,,,image,/objects/arc_101.jpg,,,Image of one of David McShane's design drafts for the Women of Germantown Mural,,
arc_102,,arc_102.jpg,,Clarice Gamble Herbert at the unveiling of The Women of Germantown Mural,Ann B Perrone,,,2001,Image of Clarice Gamble Herbert at the unveiling of The Women of Germantown Mural,,Mural,,,"Germantown, Philadelphia ",,,Ann B. Perrone,,image,image/jpeg,eng,,,image,/objects/arc_102.jpg,,,Image of Clarice Gamble Herbert at the unveiling of the Women of Germantown Mural,,
arc_103,,arc_103.jpg,,"Page about ""Women's Mural"" from the Germantown YWCA's Fall 2000 Pamphlet  ",Germantown YWCA,,,,"Image of a page fromf the Germantown YWCA  Pamphlet from the fall of 2000 that mentions the ""Women's Mural""",,Mural,,,"Germantown, Philadelphia ",,,"Germantown YWCA Pamphlet, Germantown Historical Society",,Image,image/HEIC,eng,,,image,/objects/arc_103.jpg,,,"Image of a page of the Germantown YWCA  Pamphlet from 2001 that mentions the ""Women's Mural""",,
arc_104,,arc_104.jpg,,"Page about ""The Big Picture: Mural Arts for Teens"" Program from Germantown YWCA's fall 2000 pamphlet ",Germantown YWCA,,,,"Image of page from the Germantown YWCA's fall 2000 pamphlet that mentions ""The Big Picture: Mural Arts for Teens"" program ",,Mural,,,"Germantown, Philadelphia ",,,"Germantown YWCA Pamphlet, Germantown Historical Society",,image,image/HEIC,eng,,,image,/objects/arc_104.jpg,,,"Image of page from the Germantown YWCA's fall 2000 pamphlet that mentions ""The Big Picture: Mural Arts for Teens"" program ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arc_110,,,,Questionnaire Used in B&P Council,,,,1944,Photographs of two pages from a questionaire used in B&P Council in November 1944.,,Colored Branch; Integration,,,"Germantown, Philadlephia",,,"Box 24.27, Temple University Archives",,,compound_object,eng,,,,,,,,,
arc_111,,,,Activities Secretary Job Posting,,,,1942,Photographs of two pages from a job posting for an Activities Secretary position at the Germantown Branch YWCA in 1942.,,Colored Branch; Integration; Programming; Events,,,"Germantown, Philadlephia",,,"Box 25.4, Temple Univeristy Archives",,,compound_object,eng,,,,,,,,,
arc_115,,arc_115.jpg,,Sweetheart Formal at the Branch Y,Mercantile Photo Service,,,1946,Couples dance at the Sweetheart Formal at the Germantown YWCA,,Colored Branch,,,"Germantown, Philadlephia",,,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/id/96/rec/13"">Temple University Libraries, Special Collections Research Center</a>. Box 1, Folder, Dances",AWCAPX000076,Image;StillImage,image/jpeg,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_115.jpg,,,A dance with a live band featuring many dancing couples in formalwear.,,
arc_116,,arc_116.jpg,,Sailors and their sweethearts dance at the Germantown YWCA,Lawson Foto,,,,Women and Navy men dance at the Germantown YWCA,,Colored Branch,,,"Germantown, Philadlephia",,,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/id/97/rec/3"">Temple University Libraries, Special Collections Research Center.</a>",AWCAPX000077,Image;StillImage,image/jpeg,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_116.jpg,,,Men in sailor uniforms dancing with women,,
arc_117,,arc_117.jpg,,Listening to records,Lawson Foto,,,,Young people listen to records at a get-together at the Germantown YWCA,,Colored Branch,,,"Germantown, Philadlephia",,,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/id/98/rec/13"">Temple University Libraries, Special Collections Research Center.</a>",AWCAPX000008,Image;StillImage,image/jpeg,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_117.jpg,,,,,
arc_118,,arc_118.jpg,,Group of young people on roller skates,Lawson Foto,,,,Group of young men and women prepare to roller skate at the Germantown YWCA.,,Colored Branch,,,"Germantown, Philadlephia",,,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/id/93/rec/28"">Temple University Libraries, Special Collections Research Center.</a>",AWCAPX000073,Image;StillImage,image/jpeg,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_118.jpg,,,A large group of young people including several on roller skates,,
arc_119,,arc_119.jpg,,Young women rollerskating,,,,,Young women prepare to roller skate at the Germantown YWCA,YWCA of Germantown,Colored Branch,,,"Germantown, Philadlephia",,,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/id/73/rec/25"">Temple University Libraries, Special Collections Research Center.</a>",AWCAPX000056,Image;StillImage,image/jpeg,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_119.jpg,,,Several girls putting on roller skates,,
